,HOSPI_CODE_UCD,R2,RMSE,MAE,MAPE,CLUSTER
0,CODE_UCD_3400892761527,-8705.752218828262,25193.69438475787,24681.349315068495,0.75808343518099,5
1,CODE_UCD_3400891225037,,1219.1643835616442,1219.1643835616442,0.19537890762205837,5
2,CODE_UCD_3400891191226,,190.83561643835583,190.83561643835583,0.03951047959386249,5
3,CODE_UCD_3400892697789,,3080.835616438356,3080.835616438356,1.5880595961022452,5
4,CODE_UCD_3400891235203,,800.8356164383558,800.8356164383558,0.18977147308965778,5
5,CODE_UCD_3400892075761,,1920.8356164383558,1920.8356164383558,0.6196243923994696,5
6,CODE_UCD_3400892065366,,2329.164383561644,2329.164383561644,0.3168931134097475,5
7,CODE_UCD_3400892761695,,21089.164383561645,21089.164383561645,0.8077044957319665,5
8,CODE_UCD_3400893826706,,2089.164383561644,2089.164383561644,0.2938346531029035,5
9,CODE_UCD_3400892088310,-827.7555237570996,5923.1545129626265,5119.270547945205,1.0100755775684722,5
10,CODE_UCD_3400893875490,,10482.164383561645,10482.164383561645,0.6761378045256818,5
11,CODE_UCD_3400892729589,,1124.1643835616442,1124.1643835616442,0.18293968813045472,5
12,CODE_UCD_3400890837149,-6674.151670790387,7353.144125705829,5235.020547945205,1.8312647891875042,5
13,CODE_UCD_3400891996128,,111609.16438356164,111609.16438356164,0.9569507363762466,5
14,CODE_UCD_3400893826706,,1474.0273972602736,1474.0273972602736,0.20515343037721276,1
15,CODE_UCD_3400893736135,-0.004966280473254869,270.66961751644806,270.0,0.04706845551708566,1
16,CODE_UCD_3400891235203,,1680.9726027397264,1680.9726027397264,0.41711478976171873,1
17,CODE_UCD_3400892761695,,20839.027397260274,20839.027397260274,0.7848974537574491,1
18,CODE_UCD_3400892052120,-1164.4712295489892,5086.71080043058,4113.5,2.1387904869496532,1
19,CODE_UCD_3400892729589,-47.732635473046436,2751.9177953767835,2501.5433789954336,0.4587877466710153,1
20,CODE_UCD_3400891996128,-349.6494226004289,100077.56785408902,99717.4611872146,0.932118578742725,1
21,CODE_UCD_3400892508566,,790.9726027397264,790.9726027397264,0.16076678917474113,1
22,CODE_UCD_3400892088310,-99.33928456211777,4191.285621368655,3514.922945205479,0.6666785665234183,1
23,CODE_UCD_3400892761527,-350.4822714441155,23650.42595738705,23237.0,0.7915185855031501,1
24,CODE_UCD_3400892697789,-1095.3854123615106,4635.639554827964,3281.2808219178078,1.3019610241356816,1
25,CODE_UCD_3400890837149,,1980.9726027397264,1980.9726027397264,0.5310918506004628,1
26,CODE_UCD_3400892745848,-4676.803315613859,5471.557476617485,5470.972602739726,25.77018407534247,1
27,CODE_UCD_3400891235203,-3781.0660071287157,5227.372848908424,4180.254098360656,0.8874277454776599,4
28,CODE_UCD_3400891191226,-98.78620446889873,5194.438341956733,4615.254098360656,0.8829229090930725,4
29,CODE_UCD_3400890837149,-106.85227296258226,6075.339012320194,4958.61475409836,1.5017292367898725,4
30,CODE_UCD_3400892088310,,739.0163934426228,739.0163934426228,0.15396174863387974,4
31,CODE_UCD_3400892669236,,5256.983606557377,5256.983606557377,0.4869380887881972,4
32,CODE_UCD_3400892745848,-993616.7764041924,4984.018901459424,4984.016393442623,8.981019799872259,4
33,CODE_UCD_3400892761527,-1367.8425947580715,19423.883241519794,18866.385245901638,0.7013826628167741,4
34,CODE_UCD_3400893826706,-33.534727275843615,3628.8162467014836,3477.754098360656,0.4961444573447191,4
35,CODE_UCD_3400892697789,,3179.0163934426228,3179.0163934426228,1.3470408446790774,4
36,CODE_UCD_3400891996128,-992.8556163804254,93032.02946689053,92986.28961748634,0.9322408465800504,4
37,CODE_UCD_3400892075761,,3189.0163934426228,3189.0163934426228,1.3570282525287756,4
38,CODE_UCD_3400892729589,-66.4831765629536,3819.8887225054928,3630.254098360656,0.5301282165685317,4
39,CODE_UCD_3400892052120,-506.66364630892735,3717.6797563481105,3714.0163934426228,2.060091093428827,4
40,CODE_UCD_3400893875490,-175.63216304838363,8087.149586491638,7296.88524590164,0.48968108565238216,4
41,CODE_UCD_3400892508566,,1449.0163934426228,1449.0163934426228,0.35428273678303734,4
42,CODE_UCD_3400891235203,-280.64749484250495,3272.559547416403,3266.744708633696,3.5719140660899207,2
43,CODE_UCD_3400891225037,-22.206338348261692,6720.127572016469,6719.343228218816,0.5728004006773322,2
44,CODE_UCD_3400891191226,-1.7243416089834929,1518.5133314672046,1404.3432282188157,0.229437974568311,2
45,CODE_UCD_3400892669236,-66.2055180324964,5365.101818473954,5139.8778492638,0.5021150082833555,2
46,CODE_UCD_3400893826706,,4288.255291366304,4288.255291366304,0.5033163487519136,2
47,CODE_UCD_3400892761695,-154.55408365011425,21140.26421733819,21139.343228218815,0.8055639161366484,2
48,CODE_UCD_3400892088310,-133.3198211387249,2012.7383472257604,1423.2762330248404,0.30800197331709583,2
49,CODE_UCD_3400892697789,-108.50283910189863,3780.066640230768,3415.189715582374,1.7007855346445577,2
50,CODE_UCD_3400893022634,,1118.744708633696,1118.744708633696,0.3593783195097,2
51,CODE_UCD_3400892052120,,2581.744708633696,2581.744708633696,1.5646937628083006,2
52,CODE_UCD_3400892745848,,3791.744708633696,3791.744708633696,8.617601610531127,2
53,CODE_UCD_3400892729589,,2978.255291366304,2978.255291366304,0.41307285594539583,2
54,CODE_UCD_3400893875490,,15892.520547945205,15892.520547945205,1.0396781727034676,7
55,CODE_UCD_3400891996128,-95.58064106089427,67810.06061720618,61617.35616438356,0.564954985209719,7
56,CODE_UCD_3400892761527,,3763.520547945205,3763.520547945205,0.1372796114515851,7
57,CODE_UCD_3400892761695,-325.02632541904455,22118.843879867538,22084.89596040592,0.8333505276915538,6
58,CODE_UCD_3400892745848,-9522.106824105687,5305.287106286953,4939.091617277069,8.319620198458109,6
59,CODE_UCD_3400892052120,-7152.829326711176,2960.31095076534,2960.10403959408,2.0503044552489196,6
60,CODE_UCD_3400892203645,-0.8766551920069849,1487.8551308355318,1461.97168345243,0.2711540756622918,6
61,CODE_UCD_3400892697789,-98.71714275263699,4243.985027034739,3845.776301393269,2.0415657658680657,6
62,CODE_UCD_3400890837149,,285.10403959407995,285.10403959407995,0.06920000961021358,6
63,CODE_UCD_3400893736135,,364.89596040592005,364.89596040592005,0.07649810490690148,6
64,CODE_UCD_3400892508566,-10.016922364060703,3236.1955785049836,3194.829671399758,0.6695427936772892,6
65,CODE_UCD_3400892669236,-67.00779870308982,5892.255791958124,5696.723698606731,0.5138003247054728,6
66,CODE_UCD_3400892065366,-22.23777988640408,2087.3016344366747,2041.89596040592,0.3136241757782463,6
67,CODE_UCD_3400891235203,-442.2618994436646,3579.14359783481,3575.10403959408,4.539752049792555,6
68,CODE_UCD_3400891191226,,2224.89596040592,2224.89596040592,0.3355800845257798,6
69,CODE_UCD_3400892761527,-141.47472164555103,20769.12292934081,15069.987811791381,0.48898258586149523,0
70,CODE_UCD_3400893875490,,42091.8360260771,42091.8360260771,2.6613452216791287,0
71,CODE_UCD_3400892745848,-14905.637490571851,8517.37258709807,7267.208616780045,20.81219620639584,3
72,CODE_UCD_3400891225037,-248.7241386316254,6838.900237103329,6009.274376417234,0.4680622800715457,3
73,CODE_UCD_3400891996128,,106205.5306122449,106205.5306122449,0.948263666180758,3
74,CODE_UCD_3400892088310,-133.18354007594976,3967.43845548162,3602.001700680272,0.7511789304829696,3
75,CODE_UCD_3400892761695,-2575.3677893944187,19034.22497459747,19030.530612244896,0.7665340627925139,3
76,CODE_UCD_3400893736135,-29.4024731169272,3446.152356077672,3319.501700680272,0.603514653944488,3
77,CODE_UCD_3400890837149,-264.37833613023946,5050.035455530586,4254.501700680272,1.2561987752680033,3
78,CODE_UCD_3400892729589,-2125.7745272803063,230.5848286032879,230.5306122448983,0.03826167993849998,3
79,CODE_UCD_3400893826706,,1315.5306122448983,1315.5306122448983,0.18502540256608976,3
80,CODE_UCD_3400892508566,-4354.926298773987,4289.963707576102,4009.501700680272,0.8406515430278811,3
81,CODE_UCD_3400892075761,-1297.1345825785802,5224.297043499216,3799.501700680272,1.3234280152966378,3
82,CODE_UCD_3400893875490,,6349.530612244898,6349.530612244898,0.5228533112849884,3
83,CODE_UCD_3400892761527,,20435.530612244896,20435.530612244896,0.7790899966543994,3
